Entity,Code,Year,Deaths,Births
Australia,AUS,1950,77952,188769
Australia,AUS,1951,81463,192103
Australia,AUS,1952,81306,200981
Australia,AUS,1953,79814,201657
Australia,AUS,1954,81268,201032
Australia,AUS,1955,81400,205979
Australia,AUS,1956,85159,210461
Australia,AUS,1957,84217,217683
Australia,AUS,1958,82994,219962
Australia,AUS,1959,88279,223658
Australia,AUS,1960,87556,227483
Australia,AUS,1961,88035,237166
Australia,AUS,1962,92055,233683
Australia,AUS,1963,93803,232667
Australia,AUS,1964,99407,225690
Australia,AUS,1965,99075,220766
Australia,AUS,1966,103202,221771
Australia,AUS,1967,101853,227577
Australia,AUS,1968,107973,239374
Australia,AUS,1969,105589,249190
Australia,AUS,1970,111711,257096
Australia,AUS,1971,108458,279895
Australia,AUS,1972,109404,272954
Australia,AUS,1973,109387,255594
Australia,AUS,1974,114277,250586
Australia,AUS,1975,107677,238852
Australia,AUS,1976,111611,227842
Australia,AUS,1977,107447,226991
Australia,AUS,1978,107874,224741
Australia,AUS,1979,106151,223189
Australia,AUS,1980,107573,225831
Australia,AUS,1981,108882,235219
Australia,AUS,1982,113463,240045
Australia,AUS,1983,109702,242964
Australia,AUS,1984,112852,238247
Australia,AUS,1985,117401,244258
Australia,AUS,1986,114227,243741
Australia,AUS,1987,118078,244350
Australia,AUS,1988,119040,246692
Australia,AUS,1989,125436,250952
Australia,AUS,1990,118989,263218
Australia,AUS,1991,118722,259333
Australia,AUS,1992,122911,264856
Australia,AUS,1993,120923,261619
Australia,AUS,1994,127106,259687
Australia,AUS,1995,125329,256169
Australia,AUS,1996,128274,253947
Australia,AUS,1997,128801,251705
Australia,AUS,1998,127521,249240
Australia,AUS,1999,128548,249146
Australia,AUS,2000,129228,249532
France,FRA,1950,533911,866424
France,FRA,1951,566598,833080
France,FRA,1952,526920,830846
France,FRA,1953,559709,816117
France,FRA,1954,522452,824595
France,FRA,1955,529406,823540
France,FRA,1956,549308,825445
France,FRA,1957,535116,833516
